TagID	AddedField1	CompleteAmplificationID	concatenatePoolIDSeqRun
58L-exvivo-LIVER-TOMp-1000-A_LTR47.LC2	58L-exvivo-LIVER-TOMp-1000-A	58L-exvivo-LIVER-TOMp-1000-A	PaperShort
58L-exvivo-LIVER-TOMp-1000-A_LTR77.LC7	58L-exvivo-LIVER-TOMp-1000-A	58L-exvivo-LIVER-TOMp-1000-A	PaperShort
58L-exvivo-LIVER-TOMp-1000-A_LTR87.LC21	58L-exvivo-LIVER-TOMp-1000-A	58L-exvivo-LIVER-TOMp-1000-A	PaperShort
58L-exvivo-LIVER-TOMp-1000-B_LTR47.LC31	58L-exvivo-LIVER-TOMp-1000-B	58L-exvivo-LIVER-TOMp-1000-B	PaperShort
58L-exvivo-LIVER-TOMp-1000-B_LTR51.LC26	58L-exvivo-LIVER-TOMp-1000-B	58L-exvivo-LIVER-TOMp-1000-B	PaperShort
58L-exvivo-LIVER-TOMp-1000-B_LTR77.LC36	58L-exvivo-LIVER-TOMp-1000-B	58L-exvivo-LIVER-TOMp-1000-B	PaperShort
58L-exvivo-LIVER-TOMp-1000-C_LTR49.LC41	58L-exvivo-LIVER-TOMp-1000-C	58L-exvivo-LIVER-TOMp-1000-C	PaperShort
58L-exvivo-LIVER-TOMp-1000-C_LTR5.LC46	58L-exvivo-LIVER-TOMp-1000-C	58L-exvivo-LIVER-TOMp-1000-C	PaperShort
58L-exvivo-LIVER-TOMp-1000-C_LTR9.LC51	58L-exvivo-LIVER-TOMp-1000-C	58L-exvivo-LIVER-TOMp-1000-C	PaperShort
58L-exvivo-LIVER-TOMp-1000-D_LTR23.LC56	58L-exvivo-LIVER-TOMp-1000-D	58L-exvivo-LIVER-TOMp-1000-D	PaperShort
58L-exvivo-LIVER-TOMp-1000-D_LTR31.LC61	58L-exvivo-LIVER-TOMp-1000-D	58L-exvivo-LIVER-TOMp-1000-D	PaperShort
58L-exvivo-LIVER-TOMp-1000-D_LTR33.LC66	58L-exvivo-LIVER-TOMp-1000-D	58L-exvivo-LIVER-TOMp-1000-D	PaperShort
58O-exvivo-LIVER-TOMp-1000-B_LTR47.LC27	58O-exvivo-LIVER-TOMp-1000-B	58O-exvivo-LIVER-TOMp-1000-B	PaperShort
58O-exvivo-LIVER-TOMp-1000-B_LTR77.LC32	58O-exvivo-LIVER-TOMp-1000-B	58O-exvivo-LIVER-TOMp-1000-B	PaperShort
58O-exvivo-LIVER-TOMp-1000-B_LTR87.LC37	58O-exvivo-LIVER-TOMp-1000-B	58O-exvivo-LIVER-TOMp-1000-B	PaperShort
Mix1-invivo-LIVER-TOMp-1000-A_LTR47.LC6	Mix1-invivo-LIVER-TOMp-1000-A	Mix1-invivo-LIVER-TOMp-1000-A	PaperShort
Mix1-invivo-LIVER-TOMp-1000-A_LTR51.LC1	Mix1-invivo-LIVER-TOMp-1000-A	Mix1-invivo-LIVER-TOMp-1000-A	PaperShort
Mix1-invivo-LIVER-TOMp-1000-A_LTR77.LC20	Mix1-invivo-LIVER-TOMp-1000-A	Mix1-invivo-LIVER-TOMp-1000-A	PaperShort
Mix1-invivo-LIVER-TOMp-1000-B_LTR47.LC35	Mix1-invivo-LIVER-TOMp-1000-B	Mix1-invivo-LIVER-TOMp-1000-B	PaperShort
Mix1-invivo-LIVER-TOMp-1000-B_LTR51.LC30	Mix1-invivo-LIVER-TOMp-1000-B	Mix1-invivo-LIVER-TOMp-1000-B	PaperShort
Mix1-invivo-LIVER-TOMp-1000-B_LTR87.LC25	Mix1-invivo-LIVER-TOMp-1000-B	Mix1-invivo-LIVER-TOMp-1000-B	PaperShort
Mix1-invivo-LIVER-TOMp-1000-C_LTR11.LC40	Mix1-invivo-LIVER-TOMp-1000-C	Mix1-invivo-LIVER-TOMp-1000-C	PaperShort
Mix1-invivo-LIVER-TOMp-1000-C_LTR49.LC45	Mix1-invivo-LIVER-TOMp-1000-C	Mix1-invivo-LIVER-TOMp-1000-C	PaperShort
Mix1-invivo-LIVER-TOMp-1000-C_LTR5.LC50	Mix1-invivo-LIVER-TOMp-1000-C	Mix1-invivo-LIVER-TOMp-1000-C	PaperShort
Mix1-invivo-LIVER-TOMp-1000-D_LTR1.LC55	Mix1-invivo-LIVER-TOMp-1000-D	Mix1-invivo-LIVER-TOMp-1000-D	PaperShort
Mix1-invivo-LIVER-TOMp-1000-D_LTR23.LC60	Mix1-invivo-LIVER-TOMp-1000-D	Mix1-invivo-LIVER-TOMp-1000-D	PaperShort
Mix1-invivo-LIVER-TOMp-1000-D_LTR31.LC65	Mix1-invivo-LIVER-TOMp-1000-D	Mix1-invivo-LIVER-TOMp-1000-D	PaperShort
